
The GPO, Liverpool: ‘They’re trying to work all the angles’ – restaurant review	https://www.theguardian.com/food/2021/aug/29/jay-rayner-restaurant-review-the-gpo-liverpool-could-be-first-class-when-its-sorted	L1 6DA	2021-08-29T05:00:09Z
Kurisu Omakase at Ichiban Sushi, London: ‘It is both dinner and theatre’ – restaurant review	https://www.theguardian.com/food/2021/aug/22/kurisu-omakase-at-ichiban-sushi-london-it-is-both-dinner-and-theatre-restaurant-review	SW9 8PY	2021-08-22T07:23:49Z
The Polo Lounge at the Dorchester Hotel: ‘Dismal food at inexplicable prices’ - restaurant review	https://www.theguardian.com/food/2021/aug/15/the-polo-lounge-at-the-dorchester-hotel-dismal-food-at-eye-popping-prices-restaurant-review	W1K 1QA	2021-08-15T05:00:06Z
Burnt Orange, Brighton: ‘Delivers on its smoky promise’ – restaurant review	https://www.theguardian.com/food/2021/aug/08/jay-rayner-restaurant-review-burnt-orange-in-brighton-delivers-on-its-smoky-promise	BN1 1AL	2021-08-08T05:00:13Z
The Bradley Hare, Wiltshire: ‘The meat is impeccable’: restaurant review	https://www.theguardian.com/food/2021/aug/01/jay-rayner-restaurant-review-the-bradley-hare-wiltshire-the-meat-is-impeccable	BA12 7HW	2021-08-01T05:00:04Z
Sonny Stores, Bristol: ‘They get things absolutely right’ – restaurant review	https://www.theguardian.com/food/2021/jul/25/jay-rayner-restaurant-review-sonny-stores-bristol-they-get-things-absolutely-right	BS3 1QS	2021-07-25T05:00:43Z
The Double Red Duke, Oxfordshire: ‘It’s a class act’ – restaurant review	https://www.theguardian.com/food/2021/jul/18/jay-rayner-restaurant-review-the-double-red-duke-oxfordshire-it-is-a-class-act	OX18 2RB	2021-07-18T05:00:21Z
Pho Cue, Manchester: ‘Everything it should be’ – restaurant review	https://www.theguardian.com/food/2021/jul/11/jay-rayner-restaurant-review-pho-cue-manchester-a-vivacious-vietnamese-tribute	M1 4FH	2021-07-11T05:00:37Z
Humble Chicken, London: ‘It’s a huge amount of fun’ – restaurant review	https://www.theguardian.com/food/2021/jul/04/jay-rayner-restaurant-review-humble-chicken-london-it-is-a-huge-amount-of-fun	W1D 4SJ	2021-07-04T05:00:12Z
Sussex Bar & Restaurant, London: ‘There’s an awful lot to like about it’ – restaurant review	https://www.theguardian.com/food/2021/jun/27/jay-rayner-restaurant-review-theres-an-awful-lot-to-like-about-the-sussex-in-london	W1D 3JW	2021-06-27T05:00:15Z
Imad’s Syrian Kitchen, London: ‘Represents all the good things’ – restaurant review	https://www.theguardian.com/food/2021/jun/20/jay-rayner-restaurant-review-imads-syrian-kitchen-represents-all-the-good-things	W1B 5PW	2021-06-20T05:00:14Z
